Kuningas,"[[{'syllable': 'ku', 'quantity': 1, 'accent': 1}, {'syllable': 'nin', 'quantity': 2, 'accent': 0}, {'syllable': 'gas', 'quantity': 2, 'accent': 0}]]"
kuningas,"[[{'syllable': 'ku', 'quantity': 1, 'accent': 1}, {'syllable': 'nin', 'quantity': 2, 'accent': 0}, {'syllable': 'gas', 'quantity': 2, 'accent': 0}]]"
miks,"[[{'syllable': 'miks', 'quantity': 3, 'accent': 1}]]"
sa,"[[{'syllable': 'sa', 'quantity': 3, 'accent': 1}]]"
mullu,"[[{'syllable': 'mul', 'quantity': 2, 'accent': 1}, {'syllable': 'lu', 'quantity': 1, 'accent': 0}]]"
meile,"[[{'syllable': 'mei', 'quantity': 2, 'accent': 1}, {'syllable': 'le', 'quantity': 1, 'accent': 0}]]"
ei,"[[{'syllable': 'ei', 'quantity': 3, 'accent': 1}]]"
tulnud,"[[{'syllable': 'tul', 'quantity': 2, 'accent': 1}, {'syllable': 'nud', 'quantity': 2, 'accent': 0}]]"
murumullu,"[[{'syllable': 'mu', 'quantity': 1, 'accent': 1}, {'syllable': 'ru', 'quantity': 1, 'accent': 0}, {'syllable': 'mul', 'quantity': 2, 'accent': 0}, {'syllable': 'lu', 'quantity': 1, 'accent': 0}]]"
meil,"[[{'syllable': 'meil', 'quantity': 3, 'accent': 1}]]"
k,"[[{'syllable': 'k', 'quantity': 3, 'accent': 1}]]"
inud,"[[{'syllable': 'i', 'quantity': 1, 'accent': 1}, {'syllable': 'nud', 'quantity': 2, 'accent': 0}]]"
kui,"[[{'syllable': 'kui', 'quantity': 3, 'accent': 1}]]"
isid,"[[{'syllable': 'i', 'quantity': 1, 'accent': 1}, {'syllable': 'sid', 'quantity': 2, 'accent': 0}]]"
sud,"[[{'syllable': 'sud', 'quantity': 3, 'accent': 1}]]"
j,"[[{'syllable': 'j', 'quantity': 3, 'accent': 1}]]"
rele,"[[{'syllable': 're', 'quantity': 1, 'accent': 1}, {'syllable': 'le', 'quantity': 1, 'accent': 0}]]"
ja,"[[{'syllable': 'ja', 'quantity': 3, 'accent': 1}]]"
s,"[[{'syllable': 's', 'quantity': 3, 'accent': 1}]]"
Ķitsid,"[[{'syllable': 'ķit', 'quantity': 2, 'accent': 1}, {'syllable': 'sid', 'quantity': 2, 'accent': 0}]]"
sajad,"[[{'syllable': 'sa', 'quantity': 1, 'accent': 1}, {'syllable': 'jad', 'quantity': 2, 'accent': 0}]]"
Ķnumida,"[[{'syllable': 'ķnu', 'quantity': 1, 'accent': 1}, {'syllable': 'mi', 'quantity': 1, 'accent': 0}, {'syllable': 'da', 'quantity': 1, 'accent': 0}]]"
N,"[[{'syllable': 'n', 'quantity': 3, 'accent': 1}]]"
ľ,"[[{'syllable': 'ľ', 'quantity': 3, 'accent': 1}]]"
ľd,"[[{'syllable': 'ľd', 'quantity': 3, 'accent': 1}]]"
sina,"[[{'syllable': 'si', 'quantity': 1, 'accent': 1}, {'syllable': 'na', 'quantity': 1, 'accent': 0}]]"
tul,"[[{'syllable': 'tul', 'quantity': 3, 'accent': 1}]]"
īlid,"[[{'syllable': 'īlid', 'quantity': 3, 'accent': 1}]]"
san,"[[{'syllable': 'san', 'quantity': 3, 'accent': 1}]]"
īdil,"[[{'syllable': 'īdil', 'quantity': 3, 'accent': 1}]]"
ajal,"[[{'syllable': 'a', 'quantity': 1, 'accent': 1}, {'syllable': 'jal', 'quantity': 2, 'accent': 0}]]"
kevadisel,"[[{'syllable': 'ke', 'quantity': 1, 'accent': 1}, {'syllable': 'va', 'quantity': 1, 'accent': 0}, {'syllable': 'di', 'quantity': 1, 'accent': 0}, {'syllable': 'sel', 'quantity': 2, 'accent': 0}]]"
kehval,"[[{'syllable': 'keh', 'quantity': 2, 'accent': 1}, {'syllable': 'val', 'quantity': 2, 'accent': 0}]]"
n,"[[{'syllable': 'n', 'quantity': 3, 'accent': 1}]]"
riisud,"[[{'syllable': 'rii', 'quantity': 2, 'accent': 1}, {'syllable': 'sud', 'quantity': 2, 'accent': 0}]]"
riide,"[[{'syllable': 'rii', 'quantity': 2, 'accent': 1}, {'syllable': 'de', 'quantity': 1, 'accent': 0}]]"
eida,"[[{'syllable': 'ei', 'quantity': 2, 'accent': 1}, {'syllable': 'da', 'quantity': 1, 'accent': 0}]]"
kakud,"[[{'syllable': 'ka', 'quantity': 2, 'accent': 1}, {'syllable': 'kud', 'quantity': 2, 'accent': 0}]]"
kaelakardasida,"[[{'syllable': 'kae', 'quantity': 2, 'accent': 1}, {'syllable': 'la', 'quantity': 2, 'accent': 0}, {'syllable': 'kar', 'quantity': 2, 'accent': 0}, {'syllable': 'da', 'quantity': 1, 'accent': 0}, {'syllable': 'si', 'quantity': 1, 'accent': 0}, {'syllable': 'da', 'quantity': 1, 'accent': 0}]]"
V,"[[{'syllable': 'v', 'quantity': 3, 'accent': 1}]]"
Ķtke,"[[{'syllable': 'ķtke', 'quantity': 3, 'accent': 1}]]"
kinni,"[[{'syllable': 'kin', 'quantity': 2, 'accent': 1}, {'syllable': 'ni', 'quantity': 1, 'accent': 0}]]"
v,"[[{'syllable': 'v', 'quantity': 3, 'accent': 1}]]"
